epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,577.782,1.27302,2.62667,0.96382,1.34429,0.63742,0.83735,0.78588,0.53142,0.63709,0.83396,0.78505,0.43437,1.19067,2.37652,0.93573,1.38095,0.000949524,0.000949524,0.000949524
31,596.961,1.25528,2.59474,0.98905,1.36096,0.659,0.84487,0.78685,0.53871,0.65833,0.84401,0.78559,0.3946,1.19521,2.47316,0.91394,1.39244,0.000946048,0.000946048,0.000946048
32,615.512,1.25088,2.58971,0.94941,1.33168,0.63455,0.84079,0.78636,0.547,0.6326,0.83821,0.78271,0.42068,1.18799,2.3114,0.91634,1.37706,0.000942464,0.000942464,0.000942464
33,634.773,1.22428,2.56391,0.9462,1.33436,0.65449,0.84251,0.79399,0.53222,0.65435,0.83821,0.79398,0.40506,1.2564,2.42884,0.95522,1.4316,0.000938772,0.000938772,0.000938772
34,653.756,1.25054,2.5469,0.94368,1.33355,0.66321,0.821,0.79795,0.54741,0.66173,0.82153,0.79677,0.4435,1.23682,2.34739,0.92395,1.4179,0.000934973,0.000934973,0.000934973
35,672.825,1.19417,2.51334,0.9078,1.32025,0.64512,0.821,0.80066,0.55188,0.64331,0.81643,0.79804,0.43557,1.22843,2.3754,0.91209,1.4188,0.000931067,0.000931067,0.000931067
36,691.428,1.21353,2.58879,0.9241,1.30851,0.633,0.86403,0.80113,0.55502,0.633,0.86403,0.79942,0.4216,1.16723,2.29358,0.88229,1.36439,0.000927057,0.000927057,0.000927057
37,710.749,1.18794,2.45269,0.9017,1.30876,0.67667,0.81406,0.80048,0.55935,0.67191,0.82014,0.79955,0.43324,1.1745,2.29239,0.86775,1.36694,0.000922942,0.000922942,0.000922942
38,730.035,1.17063,2.4832,0.88896,1.27909,0.63669,0.84509,0.80728,0.56958,0.63184,0.85112,0.80638,0.45618,1.13815,2.22213,0.84355,1.33484,0.000918725,0.000918725,0.000918725
39,749.106,1.18968,2.47139,0.91263,1.2982,0.67041,0.85284,0.80241,0.55561,0.66906,0.85112,0.79963,0.43658,1.2118,2.40251,0.88757,1.40655,0.000914405,0.000914405,0.000914405
