epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,579.823,0.87207,1.83862,0.68043,1.03066,0.75638,0.80379,0.86635,0.67835,0.75395,0.8012,0.86444,0.56945,0.84472,1.52706,0.64472,1.15953,0.000949524,0.000949524,0.000949524
31,598.617,0.85665,1.79604,0.68138,1.03815,0.74206,0.84423,0.86924,0.6589,0.74256,0.84399,0.86816,0.52866,0.95087,1.65839,0.66814,1.26342,0.000946048,0.000946048,0.000946048
32,617.259,0.86022,1.77848,0.68361,1.03056,0.69473,0.83825,0.84132,0.65139,0.69473,0.83825,0.84165,0.54783,0.84492,1.51201,0.69981,1.18386,0.000942464,0.000942464,0.000942464
33,636.507,0.84416,1.79133,0.67963,1.03129,0.74947,0.84596,0.87025,0.6636,0.74947,0.84596,0.86953,0.5388,0.89321,1.52883,0.67953,1.18352,0.000938772,0.000938772,0.000938772
34,655.374,0.86005,1.78419,0.67351,1.02938,0.74454,0.83522,0.86926,0.6716,0.74682,0.83735,0.87124,0.54495,0.87568,1.51018,0.69843,1.19216,0.000934973,0.000934973,0.000934973
35,674.283,0.83373,1.78723,0.63926,1.02405,0.70727,0.85668,0.86582,0.6658,0.70647,0.8575,0.86428,0.55099,0.8877,1.55153,0.6609,1.20481,0.000931067,0.000931067,0.000931067
36,692.706,0.85697,1.86768,0.65907,1.02661,0.69504,0.81239,0.83894,0.65037,0.69429,0.81239,0.83728,0.53099,0.87952,1.59645,0.68616,1.19374,0.000927057,0.000927057,0.000927057
37,711.617,0.82636,1.72264,0.6333,1.01857,0.72377,0.82302,0.86686,0.67192,0.72377,0.82302,0.86614,0.55304,0.86967,1.56849,0.65628,1.17692,0.000922942,0.000922942,0.000922942
38,730.733,0.84316,1.80962,0.65934,1.01604,0.77511,0.81273,0.88457,0.68578,0.77521,0.81317,0.88099,0.55137,0.87806,1.5473,0.62598,1.17913,0.000918725,0.000918725,0.000918725
39,749.428,0.86353,1.77312,0.67161,1.03144,0.78084,0.78399,0.88457,0.67209,0.78084,0.78399,0.88421,0.54466,0.90715,1.65812,0.65529,1.23006,0.000914405,0.000914405,0.000914405
40,768.428,0.83824,1.7268,0.65389,1.02671,0.68686,0.84596,0.86517,0.66577,0.68725,0.84251,0.86332,0.54382,0.87796,1.59471,0.68332,1.20245,0.000909984,0.000909984,0.000909984
