epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,457.186,0.86118,1.8143,0.65733,1.02358,0.72098,0.82945,0.86402,0.67426,0.71586,0.83133,0.8608,0.54485,0.85154,1.53787,0.65439,1.17384,0.000949524,0.000949524,0.000949524
31,471.776,0.8488,1.77438,0.6734,1.03232,0.7177,0.81583,0.83796,0.64576,0.71949,0.81411,0.83605,0.5285,0.91721,1.61542,0.68041,1.21077,0.000946048,0.000946048,0.000946048
32,486.817,0.84368,1.74777,0.66917,1.02634,0.66706,0.84423,0.83936,0.65065,0.66677,0.83907,0.8352,0.54267,0.85174,1.53152,0.68615,1.1656,0.000942464,0.000942464,0.000942464
33,501.724,0.82743,1.7662,0.66819,1.02067,0.66589,0.82616,0.8208,0.60822,0.66426,0.82272,0.81774,0.47744,0.92244,1.67144,0.77143,1.2039,0.000938772,0.000938772,0.000938772
34,516.859,0.85351,1.7816,0.67275,1.02307,0.683,0.83133,0.83026,0.62846,0.68017,0.82788,0.82589,0.50181,0.91784,1.64128,0.71188,1.21927,0.000934973,0.000934973,0.000934973
35,531.791,0.82015,1.7829,0.63178,1.01671,0.68992,0.8444,0.84997,0.66084,0.69037,0.84165,0.84807,0.54202,0.83407,1.54505,0.67075,1.1667,0.000931067,0.000931067,0.000931067
36,546.624,0.84086,1.86068,0.65794,1.01593,0.69221,0.83477,0.83959,0.64593,0.69666,0.82419,0.8367,0.52747,0.87926,1.54273,0.69165,1.20008,0.000927057,0.000927057,0.000927057
37,561.62,0.80702,1.71593,0.62568,1.01347,0.69716,0.80981,0.82881,0.63881,0.69568,0.80809,0.82479,0.5131,0.88375,1.57094,0.74862,1.19999,0.000922942,0.000922942,0.000922942
38,576.949,0.8264,1.78816,0.64634,1.00887,0.72065,0.84079,0.85682,0.65827,0.72116,0.83305,0.85261,0.52583,0.88044,1.58076,0.65926,1.17495,0.000918725,0.000918725,0.000918725
39,591.969,0.84397,1.76848,0.6566,1.02092,0.74286,0.80465,0.85826,0.63855,0.74157,0.80293,0.85407,0.50263,0.92181,1.66288,0.68429,1.20551,0.000914405,0.000914405,0.000914405
40,607.111,0.80944,1.71552,0.62794,1.0123,0.74147,0.82186,0.86004,0.65768,0.74067,0.81111,0.85424,0.51267,0.90543,1.69442,0.69597,1.19838,0.000909984,0.000909984,0.000909984
41,621.895,0.83248,1.79577,0.65128,1.01351,0.73443,0.80637,0.85821,0.65965,0.73552,0.80379,0.85643,0.52635,0.88567,1.56505,0.67024,1.19245,0.000905463,0.000905463,0.000905463
42,636.984,0.82368,1.70951,0.64664,1.01084,0.75323,0.81842,0.87127,0.67636,0.74769,0.8212,0.86837,0.55231,0.88604,1.56522,0.66801,1.19359,0.000900844,0.000900844,0.000900844
43,652.017,0.81856,1.7342,0.63533,1.02656,0.72294,0.80551,0.84818,0.64899,0.72139,0.80379,0.84534,0.52406,0.89318,1.55454,0.66604,1.18447,0.000896127,0.000896127,0.000896127
44,666.753,0.80993,1.72402,0.62947,1.00128,0.70165,0.80956,0.84219,0.64253,0.7016,0.80936,0.84188,0.51808,0.88905,1.52022,0.68472,1.18577,0.000891313,0.000891313,0.000891313
45,681.506,0.80215,1.70774,0.62267,1.00225,0.68853,0.81325,0.84037,0.65117,0.68737,0.81497,0.83807,0.5294,0.86138,1.57549,0.67148,1.16821,0.000886404,0.000886404,0.000886404
46,696.933,0.82038,1.80273,0.63679,1.00299,0.69826,0.84682,0.84938,0.65994,0.69559,0.84423,0.84499,0.5297,0.88971,1.58081,0.69727,1.20436,0.000881401,0.000881401,0.000881401
47,712.291,0.81883,1.69879,0.62274,1.01065,0.72254,0.79604,0.83968,0.64796,0.72335,0.79604,0.83846,0.52209,0.86689,1.51809,0.67124,1.17793,0.000876305,0.000876305,0.000876305
