filename,gsd,Model,TP,FP,FN,IoU,Pred_Area_m2,GT_Area_m2,Error_Area_m2,Pred_Diam_m,GT_Diam_m,Error_Diam_m
0.04m_sample_07.png,0.04m,Hybrid-v11-SAM,7,1,1,0.7858,344.59,411.343,-66.753,20.946,22.885,-1.939
0.04m_sample_07.png,0.04m,Hybrid-v8-SAM,7,3,1,0.8032,359.368,411.343,-51.975,21.391,22.885,-1.495
0.04m_sample_07.png,0.04m,Mask-RCNN,8,0,0,0.8412,441.518,411.343,30.175,23.71,22.885,0.825
0.04m_sample_07.png,0.04m,YOLOv11-ablation,6,0,2,0.8624,342.266,411.343,-69.078,20.875,22.885,-2.01
0.04m_sample_07.png,0.04m,YOLOv11l-seg,6,0,2,0.8955,355.514,411.343,-55.83,21.276,22.885,-1.61
0.04m_sample_07.png,0.04m,YOLOv8l-seg,7,1,1,0.8592,373.675,411.343,-37.668,21.812,22.885,-1.073
0.05m_01_20.png,0.05m,Hybrid-v11-SAM,6,6,4,0.864,434.64,482.463,-47.823,23.524,24.785,-1.26
0.05m_01_20.png,0.05m,Hybrid-v8-SAM,7,8,3,0.8693,430.03,482.463,-52.433,23.399,24.785,-1.386
0.05m_01_20.png,0.05m,Mask-RCNN,10,5,0,0.9019,744.068,482.463,261.605,30.779,24.785,5.995
0.05m_01_20.png,0.05m,YOLOv11-ablation,6,3,4,0.9004,335.828,482.463,-146.635,20.678,24.785,-4.107
0.05m_01_20.png,0.05m,YOLOv11l-seg,6,4,4,0.9199,406.883,482.463,-75.58,22.761,24.785,-2.024
0.05m_01_20.png,0.05m,YOLOv8l-seg,6,5,4,0.9125,338.273,482.463,-144.19,20.753,24.785,-4.032
0.05m_01_27.png,0.05m,Hybrid-v11-SAM,6,2,6,0.8553,242.778,525.413,-282.635,17.582,25.865,-8.283
0.05m_01_27.png,0.05m,Hybrid-v8-SAM,9,5,3,0.8346,431.263,525.413,-94.15,23.433,25.865,-2.432
0.05m_01_27.png,0.05m,Mask-RCNN,10,2,2,0.8892,613.628,525.413,88.215,27.952,25.865,2.087
0.05m_01_27.png,0.05m,YOLOv11-ablation,9,1,3,0.8791,403.135,525.413,-122.278,22.656,25.865,-3.209
0.05m_01_27.png,0.05m,YOLOv11l-seg,4,1,8,0.9276,166.238,525.413,-359.175,14.549,25.865,-11.316
0.05m_01_27.png,0.05m,YOLOv8l-seg,7,2,5,0.9145,303.055,525.413,-222.358,19.643,25.865,-6.221
0.05m_sample_01.png,0.05m,Hybrid-v11-SAM,0,7,0,0.0,293.688,0.0,293.688,19.337,0.0,19.337
0.05m_sample_01.png,0.05m,Hybrid-v8-SAM,0,9,0,0.0,435.013,0.0,435.013,23.535,0.0,23.535
0.05m_sample_01.png,0.05m,Mask-RCNN,0,5,0,0.0,259.785,0.0,259.785,18.187,0.0,18.187
0.05m_sample_01.png,0.05m,YOLOv11-ablation,0,7,0,0.0,308.13,0.0,308.13,19.807,0.0,19.807
0.05m_sample_01.png,0.05m,YOLOv11l-seg,0,7,0,0.0,325.015,0.0,325.015,20.343,0.0,20.343
0.05m_sample_01.png,0.05m,YOLOv8l-seg,0,6,0,0.0,304.895,0.0,304.895,19.703,0.0,19.703
0.05m_sample_07.png,0.05m,Hybrid-v11-SAM,0,12,0,0.0,497.953,0.0,497.953,25.18,0.0,25.18
0.05m_sample_07.png,0.05m,Hybrid-v8-SAM,0,12,0,0.0,449.945,0.0,449.945,23.935,0.0,23.935
0.05m_sample_07.png,0.05m,Mask-RCNN,0,9,0,0.0,457.723,0.0,457.723,24.141,0.0,24.141
0.05m_sample_07.png,0.05m,YOLOv11-ablation,0,9,0,0.0,441.603,0.0,441.603,23.712,0.0,23.712
0.05m_sample_07.png,0.05m,YOLOv11l-seg,0,9,0,0.0,442.535,0.0,442.535,23.737,0.0,23.737
0.05m_sample_07.png,0.05m,YOLOv8l-seg,0,10,0,0.0,424.683,0.0,424.683,23.253,0.0,23.253
0.06m_01_20.png,0.06m,Hybrid-v11-SAM,13,5,2,0.8351,758.437,654.392,104.045,31.075,28.865,2.21
0.06m_01_20.png,0.06m,Hybrid-v8-SAM,12,5,3,0.8292,636.278,654.392,-18.114,28.463,28.865,-0.402
0.06m_01_20.png,0.06m,Mask-RCNN,14,5,1,0.8872,885.834,654.392,231.442,33.584,28.865,4.719
0.06m_01_20.png,0.06m,YOLOv11-ablation,10,1,5,0.8672,487.768,654.392,-166.625,24.921,28.865,-3.944
0.06m_01_20.png,0.06m,YOLOv11l-seg,10,4,5,0.8961,604.253,654.392,-50.139,27.737,28.865,-1.128
0.06m_01_20.png,0.06m,YOLOv8l-seg,9,3,6,0.8864,456.023,654.392,-198.369,24.096,28.865,-4.769
0.06m_01_27.png,0.06m,Hybrid-v11-SAM,13,3,3,0.828,573.084,692.95,-119.866,27.012,29.703,-2.691
0.06m_01_27.png,0.06m,Hybrid-v8-SAM,10,3,6,0.8187,400.162,692.95,-292.789,22.572,29.703,-7.131
0.06m_01_27.png,0.06m,Mask-RCNN,11,4,5,0.9086,806.13,692.95,113.18,32.037,29.703,2.334
0.06m_01_27.png,0.06m,YOLOv11-ablation,9,0,7,0.8888,421.751,692.95,-271.199,23.173,29.703,-6.53
0.06m_01_27.png,0.06m,YOLOv11l-seg,8,2,8,0.9115,368.777,692.95,-324.173,21.669,29.703,-8.034
0.06m_01_27.png,0.06m,YOLOv8l-seg,8,3,8,0.9095,335.927,692.95,-357.023,20.681,29.703,-9.022
0.06m_sample_01.png,0.06m,Hybrid-v11-SAM,0,8,0,0.0,373.277,0.0,373.277,21.801,0.0,21.801
0.06m_sample_01.png,0.06m,Hybrid-v8-SAM,0,11,0,0.0,383.972,0.0,383.972,22.111,0.0,22.111
0.06m_sample_01.png,0.06m,Mask-RCNN,0,5,0,0.0,313.556,0.0,313.556,19.981,0.0,19.981
0.06m_sample_01.png,0.06m,YOLOv11-ablation,0,5,0,0.0,269.942,0.0,269.942,18.539,0.0,18.539
0.06m_sample_01.png,0.06m,YOLOv11l-seg,0,3,0,0.0,203.09,0.0,203.09,16.081,0.0,16.081
0.06m_sample_01.png,0.06m,YOLOv8l-seg,0,6,0,0.0,328.655,0.0,328.655,20.456,0.0,20.456
0.06m_sample_07.png,0.06m,Hybrid-v11-SAM,0,12,0,0.0,601.106,0.0,601.106,27.665,0.0,27.665
0.06m_sample_07.png,0.06m,Hybrid-v8-SAM,0,15,0,0.0,663.448,0.0,663.448,29.064,0.0,29.064
0.06m_sample_07.png,0.06m,Mask-RCNN,0,11,0,0.0,615.982,0.0,615.982,28.005,0.0,28.005
0.06m_sample_07.png,0.06m,YOLOv11-ablation,0,12,0,0.0,667.465,0.0,667.465,29.152,0.0,29.152
0.06m_sample_07.png,0.06m,YOLOv11l-seg,0,9,0,0.0,513.371,0.0,513.371,25.566,0.0,25.566
0.06m_sample_07.png,0.06m,YOLOv8l-seg,0,10,0,0.0,563.062,0.0,563.062,26.775,0.0,26.775
0.08m_01_20.png,0.08m,Hybrid-v11-SAM,16,9,1,0.8544,1230.566,927.93,302.637,39.583,34.373,5.21
0.08m_01_20.png,0.08m,Hybrid-v8-SAM,11,9,6,0.85,792.845,927.93,-135.085,31.772,34.373,-2.6
0.08m_01_20.png,0.08m,Mask-RCNN,16,10,1,0.8847,1420.314,927.93,492.384,42.525,34.373,8.153
