Model,F1_Mean,F1_CI_Lower,F1_CI_Upper,F1_Std,mAP50_Mean,mAP50_CI_Lower,mAP50_CI_Upper,mAP50_Std,Precision_Mean,Recall_Mean,N_Samples
Mask-RCNN,0.727375,0.6495744247283339,0.805175575271666,0.09306056015919342,0.6425,0.5594118489484657,0.7255881510515342,0.09938525328955282,0.69825,0.7825,8
Hybrid-v11-SAM,0.679625,0.5713657666553078,0.7878842333446923,0.1294934499170849,0.580625,0.5025668926671207,0.6586831073328792,0.09336860515489899,0.6597500000000001,0.726,8
YOLOv11-ablation,0.667375,0.5756410557090408,0.7591089442909593,0.10972685242390369,0.63325,0.5103019229610823,0.7561980770389176,0.14706339740786237,0.696125,0.655,8
YOLOv11l-seg,0.6457499999999999,0.5194260412701678,0.7720739587298321,0.1511014323464303,0.5991249999999999,0.47420494740288766,0.7240450525971122,0.14942216081578108,0.73975,0.5972500000000001,8
Hybrid-v8-SAM,0.634625,0.5408234552542774,0.7284265447457225,0.11219999681690855,0.5435,0.46135330939009794,0.625646690609902,0.09825913261807852,0.553125,0.766625,8
YOLOv8l-seg,0.6165,0.5095910738451016,0.7234089261548985,0.1278782903500713,0.5660000000000001,0.39852373308957445,0.7334762669104257,0.20032544949228423,0.630125,0.62625,8
